setting,model,dataset,data,data_path,features,target,freq,seq_len,label_len,pred_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,dropout,fc_dropout,head_dropout,batch_size,train_epochs,learning_rate,activation,output_activation,perturb_amplitude,perturb_frequency,perturb_phase,activation_signature,placement,seed,mse,mae,rmse,mape,mspe,rse,corr,server_id,server_ip,run_id,des,config_path,pred_path,true_path,summary_path,stage,config_name,gelu_mse,gelu_mae,improvement_vs_gelu,win_vs_gelu
ETTh2_pl168_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,linear,0.0,1.0,0.0,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,0.323923110961914,0.369240939617157,0.5691424608230591,1.4808441400527954,322.751953125,0.4559226036071777,0.1847149729728698,4090-82,10.21.53.82,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024,./results/ETTh2_pl168_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0/config.json,./results/ETTh2_pl168_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0/pred.npy,./results/ETTh2_pl168_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.82/results/summary.csv,stage1,gelu_ffn_linear,0.323923110961914,0.369240939617157,0.0,False
ETTh2_pl168_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,linear,0.0,1.0,0.0,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2025,0.3264374136924743,0.3714931011199951,0.5713469982147217,1.494110941886902,333.24481201171875,0.4576886296272278,0.1839279383420944,4090-113,10.21.53.113,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025,./results/ETTh2_pl168_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0/config.json,./results/ETTh2_pl168_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0/pred.npy,./results/ETTh2_pl168_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.113/results/summary.csv,stage1,gelu_ffn_linear,0.3264374136924743,0.3714931011199951,0.0,False
ETTh2_pl168_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,linear,0.0,1.0,0.0,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2026,0.3272788524627685,0.3710361421108246,0.5720829367637634,1.483344793319702,330.1220703125,0.4582781493663788,0.1821793168783188,4090-142,10.21.53.142,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026,./results/ETTh2_pl168_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0/config.json,./results/ETTh2_pl168_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0/pred.npy,./results/ETTh2_pl168_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.142/results/summary.csv,stage1,gelu_ffn_linear,0.3272788524627685,0.3710361421108246,0.0,False
ETTh2_pl168_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,softsign,linear,0.0,1.0,0.0,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,0.3302719593048095,0.3689552545547485,0.5746929049491882,1.4390747547149658,292.9765930175781,0.4603689312934875,0.1843103468418121,4090-162,10.21.53.162,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024,./results/ETTh2_pl168_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0/config.json,./results/ETTh2_pl168_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0/pred.npy,./results/ETTh2_pl168_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.162/results/summary.csv,stage1,softsign_ffn_linear,0.323923110961914,0.369240939617157,-0.01959986221434502,False
ETTh2_pl168_softsign_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,softsign,linear,0.0,1.0,0.0,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2025,0.3335877954959869,0.3714663982391357,0.5775706171989441,1.4456455707550049,299.0510559082031,0.4626741409301758,0.1828146874904632,4090-82,10.21.53.82,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2025,./results/ETTh2_pl168_softsign_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2025_0/config.json,./results/ETTh2_pl168_softsign_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2025_0/pred.npy,./results/ETTh2_pl168_softsign_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2025_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.82/results/summary.csv,stage1,softsign_ffn_linear,0.3264374136924743,0.3714931011199951,-0.021904296209896784,False
ETTh2_pl168_softsign_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,softsign,linear,0.0,1.0,0.0,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2026,0.3307618200778961,0.3702249825000763,0.5751189589500427,1.4498672485351562,304.29443359375,0.4607102274894714,0.1837735325098037,4090-113,10.21.53.113,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2026,./results/ETTh2_pl168_softsign_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2026_0/config.json,./results/ETTh2_pl168_softsign_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2026_0/pred.npy,./results/ETTh2_pl168_softsign_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2026_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.113/results/summary.csv,stage1,softsign_ffn_linear,0.3272788524627685,0.3710361421108246,-0.010642201868279418,False
ETTh2_pl168_tanh_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh,linear,0.0,1.0,0.0,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2024,0.3293180763721466,0.3681323528289795,0.5738624334335327,1.4387372732162476,293.9046936035156,0.459703654050827,0.1842812299728393,4090-142,10.21.53.142,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2024,./results/ETTh2_pl168_tanh_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2024_0/config.json,./results/ETTh2_pl168_tanh_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2024_0/pred.npy,./results/ETTh2_pl168_tanh_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2024_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.142/results/summary.csv,stage1,tanh_ffn_linear,0.323923110961914,0.369240939617157,-0.016655080257200063,False
ETTh2_pl168_tanh_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh,linear,0.0,1.0,0.0,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2025,0.3333500325679779,0.3709285259246826,0.5773647427558899,1.4455052614212036,299.8694152832031,0.462509274482727,0.18264901638031,4090-162,10.21.53.162,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2025,./results/ETTh2_pl168_tanh_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2025_0/config.json,./results/ETTh2_pl168_tanh_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2025_0/pred.npy,./results/ETTh2_pl168_tanh_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2025_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.162/results/summary.csv,stage1,tanh_ffn_linear,0.3264374136924743,0.3714931011199951,-0.02117593935484289,False
ETTh2_pl168_tanh_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh,linear,0.0,1.0,0.0,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,2026,0.3303804695606231,0.3700598180294037,0.5747873187065125,1.4537395238876345,308.7133483886719,0.4604445695877075,0.1836304366588592,4090-82,10.21.53.82,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2026,./results/ETTh2_pl168_tanh_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2026_0/config.json,./results/ETTh2_pl168_tanh_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2026_0/pred.npy,./results/ETTh2_pl168_tanh_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_ffn_linear_s2026_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.82/results/summary.csv,stage1,tanh_ffn_linear,0.3272788524627685,0.3710361421108246,-0.009476985984627456,False
ETTh2_pl168_tanh_sin001_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh_sin,linear,0.01,1.0,0.0,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,2024,0.3293248414993286,0.3681319653987884,0.5738683342933655,1.4387643337249756,293.9212341308594,0.4597083628177643,0.1842800825834274,4090-113,10.21.53.113,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2024,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2024_0/config.json,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2024_0/pred.npy,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2024_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.113/results/summary.csv,stage1,tanh_sin001_ffn_linear,0.323923110961914,0.369240939617157,-0.016675965235619532,False
ETTh2_pl168_tanh_sin001_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh_sin,linear,0.01,1.0,0.0,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,2025,0.3333870768547058,0.3709419965744018,0.577396810054779,1.4455103874206543,299.84515380859375,0.4625349342823028,0.1826390326023101,4090-142,10.21.53.142,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2025,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2025_0/config.json,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2025_0/pred.npy,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2025_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.142/results/summary.csv,stage1,tanh_sin001_ffn_linear,0.3264374136924743,0.3714931011199951,-0.021289419872620802,False
ETTh2_pl168_tanh_sin001_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,168,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,tanh_sin,linear,0.01,1.0,0.0,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,2026,0.3304022550582886,0.3700723946094513,0.574806272983551,1.453827738761902,308.78082275390625,0.4604597389698028,0.1836173087358474,4090-162,10.21.53.162,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2026,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2026_0/config.json,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2026_0/pred.npy,./results/ETTh2_pl168_tanh_sin001_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl168_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_tanh_sin001_ffn_linear_s2026_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.162/results/summary.csv,stage1,tanh_sin001_ffn_linear,0.3272788524627685,0.3710361421108246,-0.009543551537218238,False
ETTh2_pl336_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,linear,0.0,1.0,0.0,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2024,0.3286780118942261,0.3846927583217621,0.5733044743537903,1.7051821947097778,438.72216796875,0.4580075740814209,0.1663715690374374,4090-82,10.21.53.82,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024,./results/ETTh2_pl336_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0/config.json,./results/ETTh2_pl336_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2024_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.82/results/summary.csv,stage1,gelu_ffn_linear,0.3286780118942261,0.3846927583217621,0.0,False
ETTh2_pl336_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,linear,0.0,1.0,0.0,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2025,0.3288261592388153,0.3851226270198822,0.5734336376190186,1.703818678855896,443.2297668457031,0.4581108093261719,0.1664793789386749,4090-113,10.21.53.113,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025,./results/ETTh2_pl336_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0/config.json,./results/ETTh2_pl336_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_linear_s2025_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2025_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.113/results/summary.csv,stage1,gelu_ffn_linear,0.3288261592388153,0.3851226270198822,0.0,False
ETTh2_pl336_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,gelu,linear,0.0,1.0,0.0,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,2026,0.3278459310531616,0.383330762386322,0.5725783109664917,1.6816221475601196,427.9624938964844,0.4574275016784668,0.1649476140737533,4090-142,10.21.53.142,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026,./results/ETTh2_pl336_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0/config.json,./results/ETTh2_pl336_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0/pred.npy,./results/ETTh2_pl336_gelu_ffn_linear_s2026_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_gelu_ffn_linear_s2026_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.142/results/summary.csv,stage1,gelu_ffn_linear,0.3278459310531616,0.383330762386322,0.0,False
ETTh2_pl336_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0,PatchTST,ETTh2,ETTh2,ETTh2.csv,M,OT,h,336,48,336,16,8,3,16,4,128,0.3,0.3,0.0,128,20,0.0001,softsign,linear,0.0,1.0,0.0,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,2024,0.3333571851253509,0.3824288547039032,0.5773709416389465,1.6411694288253784,406.2352294921875,0.4612562656402588,0.1627127826213836,4090-162,10.21.53.162,patchtst_stage1_20260521_actfix,patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024,./results/ETTh2_pl336_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0/config.json,./results/ETTh2_pl336_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0/pred.npy,./results/ETTh2_pl336_softsign_ffn_linear_s2024_PatchTST_ETTh2_ftM_sl336_ll48_pl336_dm16_nh4_el3_dl1_df128_fc1_ebtimeF_dtTrue_patchtst_stage1_20260521_actfix_softsign_ffn_linear_s2024_0/true.npy,patchtst_remote_results/stage1_actfix_20260521/10.21.53.162/results/summary.csv,stage1,softsign_ffn_linear,0.3286780118942261,0.3846927583217621,-0.014236343965201593,False
