dataset,pred_len,seq_len,patch_len,stride,e_layers,d_model,n_heads,d_ff,batch_size,train_epochs,config_name,activation_signature,placement,seed_count,mse_mean,mse_std,mae_mean,mae_std
ETTh2,168,336,16,8,3,16,4,128,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.32587979237238557,0.0017459829345106363,0.37059006094932556,0.0011905037424131727
ETTh2,168,336,16,8,3,16,4,128,128,20,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,3,0.33154052495956415,0.001789826355049741,0.3702155450979869,0.001255598442706938
ETTh2,168,336,16,8,3,16,4,128,128,20,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,3,0.3310161928335826,0.0020898028019677543,0.3697068989276886,0.001431104438729067
ETTh2,168,336,16,8,3,16,4,128,128,20,tanh_sin001_ffn_linear,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,3,0.33103805780410767,0.0021044293452887526,0.36971545219421387,0.0014386190315112898
ETTh2,336,336,16,8,3,16,4,128,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.3284500340620677,0.0005283864522811148,0.38438204924265545,0.0009354676986034477
ETTh2,336,336,16,8,3,16,4,128,128,20,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,3,0.3333014547824859,0.00183526569886421,0.3825889825820923,0.0012061264800242177
ETTh2,336,336,16,8,3,16,4,128,128,20,tanh_ffn_linear,act=tanh|ffn=tanh|out=linear|a=0,ffn_linear,3,0.33319051067034405,0.0015497929211623412,0.3820552130540212,0.0008743357345853987
ETTh2,336,336,16,8,3,16,4,128,128,20,tanh_sin001_ffn_linear,act=tanh_sin|ffn=tanh_sin|out=linear|a=0.01,ffn_linear,3,0.3332241376241048,0.0015508288173646137,0.38205717007319134,0.0008664070519879253
ETTh2,720,336,16,8,3,16,4,128,128,20,gelu_ffn_linear,act=gelu|ffn=gelu|out=linear|a=0,ffn_linear,3,0.3808809022108714,0.001192119636210881,0.42302284638086957,0.0004513431173354694
ETTh2,720,336,16,8,3,16,4,128,128,20,softsign_ffn_linear,act=softsign|ffn=softsign|out=linear|a=0,ffn_linear,3,0.37831496198972064,0.0013728190625910326,0.41821983456611633,0.000836820766759028
