feature,train_mean_gain_vs_static,train_positive_vs_static_rate,train_regret_vs_oracle,train_action_hit_rate,outer_mode,outer_fold,selection_mode
input_daily_cycle_energy_ratio,0.01816106312282414,0.48214285714285715,0.009939977192326564,0.75,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_timefreq_dominant_frequency_drift,0.018080245149224686,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_dominant_frequency_energy_ratio,0.018080245149224686,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
seq_len,0.017975325146381876,0.5178571428571429,0.010123555733778626,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_jump_intensity,0.017975325146381876,0.5178571428571429,0.010123555733778626,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_freq_seasonal_peak_strength,0.017968133103392066,0.5,0.010133010001009383,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_freq_harmonic_energy_ratio,0.017936752807914597,0.48214285714285715,0.010167197102230092,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_spectral_entropy,0.017822515329690133,0.48214285714285715,0.010278948945482693,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/168,train_score
input_turbulence_score,0.017794740234973905,0.5,0.010305985512854178,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_multivar_missing_or_constant_channel_ratio,0.017755547656360372,0.5357142857142857,0.010342517276091829,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/168,train_score
router_freq_spectral_entropy,0.017707770188940423,0.48214285714285715,0.010393694086232407,0.6785714285714286,leave_cell,Informer-fullgrid:ETTh1/168,train_score
n_heads,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
d_model,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
train_epochs,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
d_ff,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
scope_config_count,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
patch_to_seq_ratio,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
pred_to_seq_ratio,0.017661320394856905,0.44642857142857145,0.010445212910300114,0.6964285714285714,leave_cell,Informer-fullgrid:ETTh1/168,train_score
d_layers,0.020002884911335356,0.48214285714285715,0.007886356161715288,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
pred_to_seq_ratio,0.0188384472451513,0.44642857142857145,0.009133978934620856,0.7142857142857143,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_multivar_correlation_condition_number,0.018348206986607673,0.5178571428571429,0.00974320331787812,0.7678571428571429,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_daily_cycle_energy_ratio,0.018153592547149437,0.48214285714285715,0.009939977192326564,0.75,leave_cell,Informer-fullgrid:ETTh1/336,train_score
router_timefreq_dominant_frequency_drift,0.01807277457354998,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
input_dominant_frequency_energy_ratio,0.01807277457354998,0.48214285714285715,0.010021219125948142,0.7321428571428571,leave_cell,Informer-fullgrid:ETTh1/336,train_score
